Scenarios,pearson.pvalue,kendall.pvalue,spearman.pvalue,differential.pvalue,variance.pval,fixed.YW.pval
1,0.002,0.002,0.002,0.002,0.058,0.054
2,0.266,0.268,0.26,0.896,0.976,0.98
3,1,1,1,1,1,1
4,0.656,0.652,0.652,0.782,0.924,0.924
5,0.548,0.548,0.546,0.752,0.926,0.934
6,0.888,0.88,0.882,0.944,0.992,0.992
7,0.862,0.844,0.85,0.886,0.956,0.974
8,0.752,0.732,0.73,0.42,0.592,0.664
9,0.004,0.004,0.004,0.002,0.054,0.068
10,0.162,0.164,0.164,0.652,0.856,0.88
11,0.672,0.666,0.672,1,1,1
12,0.904,0.908,0.908,0.92,0.968,0.986
13,0.636,0.628,0.632,0.742,0.924,0.934
14,0.6,0.6,0.598,0.74,0.938,0.95
15,0.784,0.774,0.774,0.604,0.85,0.87
16,0.99,0.986,0.988,0.956,0.978,0.988
